id,Title,Subtitle,Content,Date
1,NIKI Batal Manggung di Grammy Museum karena Sakit Laryngitis,detikPop,NIKI batal tampil di Grammy Museum karena sakit laryngitis.,"Rabu, 14 Agu 2024 19:30 WIB"
2,Akhirnya NIKI Rilis Album Buzz Secara Utuh,detikPop,"NIKI akhirnya rilis album ketiga, Buzz.","Jumat, 09 Agu 2024 18:00 WIB"
3,Semua Tentang Album NIKI 'Buzz',detikPop,Berikut ini semua yang kamu perlu tahu tentang album 'Buzz' milik NIKI!,"Minggu, 05 Mei  2024 21:30 WIB"
4,Lihat Penampilan Perdana NIKI Bawakan Lagu Baru di 'Jimmy Kimmel Live!',20Detik,N/A,"Jumat, 31 Mei 2024 09:49 WIB"
5,NIKI Jadi Penyanyi Indonesia Pertama yang Tampil di Jimmy Kimmel,detikPop,NIKI jadi penyanyi Indonesia pertama yang tampil di Jimmy Kimmel. Seperti apa?,"Jumat, 31 Mei  2024 13:00 WIB"
6,Pengumuman! NIKI Bakal Konser di Jakarta Tahun Depan,detikPop,NIKI akan menggelar tur dunia betajuk 'Buzz World Tour'. Jakarta jadi salah satu negara yang dipilih. Konser di Jakarta akan digelar pada 14-15 Februari 2025,"Rabu, 15 Mei  2024 19:41 WIB"
7,NIKI Nyentrik Banget di Too Much of A Good Thing,detikPop,NIKI berani tampil beda di karya terbarunya.,"Senin, 06 Mei  2024 11:45 WIB"
8,Momen Evakuasi Penumpang KM Niki Sejahtera yang Terbakar di Banjarmasin,Foto News,N/A,"Kamis, 01 Agu 2024 21:15 WIB"
9,"NIKI Umumkan Tur Dunia 41 Negara, Ada Jakarta!",detikPop,NIKI umumkan tur dunianya di 41 kota.,"Rabu, 15 Mei  2024 13:30 WIB"
10,Lihat Penampilan Perdana NIKI Bawakan Lagu Baru di 'Jimmy Kimmel Live!',detikPop,NIKI jadi solois Indonesia pertama yang tampil di program 'Jimmy Kimmel Live!' pada Rabu (29/5). Lihat penampilan NIKI di video berikut!,"Jumat, 31 Mei  2024 10:13 WIB"
11,NIKI Sabet Penghargaan dari Moonrise Gala di AS,detikPop,NIKI menerima penghargaan di Moonrise Gala berupa medali yang dibuat oleh Anna Kikue.,"Minggu, 18 Feb 2024 18:22 WIB"
12,"Tentang '24', Lagu Terbaru NIKI yang Dirilis Jelang Ulang Tahunnya",detikHot,NIKI merilis lagu bertajuk '24'. Lagu ini dirilis menjelang ulang tahunnya pada tanggal 24 Januari 2024. Berikut fakta-fakta seputar lagu tersebut...,"Minggu, 14 Jan 2024 18:27 WIB"
13,"Makin Bersinar, NIKI Raih 36 Juta Pendengar di Spotify!",detikHot,Solois NIKI kian bersinar tiap tahunnya. Kini ia berhasil mendapatkan 36 juta pendengar di Spotify.,"Kamis, 30 Nov 2023 17:51 WIB"
14,Ketika Ganjar Banggakan NIKI hingga Rich Brian di Debat Pilpres,detikNews,"Calon presiden nomor urut 3, Ganjar Pranowo, membanggakan penyanyi NIKI dan Rich Brian di panggung debat ketiga Pilpres 2024.","Senin, 08 Jan 2024 05:19 WIB"
15,Curhatan NIKI Pertama Kali Jatuh Cinta Umur 15 Tahun,detikHot,"Niki Zefanya atau NIKI sukses menggelar konsernya di Jakarta semalam. Penyanyi asal Indonesia yang berkarier di Amerika ini, membuat penonton puas.","Rabu, 27 Sep 2023 12:35 WIB"
16,Pengumuman! NIKI Bakal Konser di Jakarta Tahun Depan,20Detik,N/A,"Rabu, 15 Mei  2024 19:30 WIB"
17,Keseruan NIKI 'Pulang Kampung' di Nicole World Tour 2023 Jakarta,detikHot,"NIKI 'pulang kampung' dengan menggelar 'Nicole World Tour 2023' Jakarta. Kenakan batik, NIKI sukses membuat penonton seru-seruan sampai bergalau ria.","Rabu, 27 Sep 2023 07:47 WIB"
18,Tak Sabar 'Sing-Along' di Konser NIKI Jakarta Malam Ini,detikHot,"NIKI siap menggelar konser 'Nicole World Tour 2023' ini digelar di JIExpo Kemayoran, Selasa (26/9). Para penggemar pun tak sabar bersenandung bareng NIKI.","Selasa, 26 Sep 2023 19:46 WIB"
19,"Ungkap Rindu Tanah Air, NIKI Bawa Lagu Laskar Pelangi di Nicole World Tour",detikHot,"NIKI tampil selama 1,5 jam dalam komser bertajuk Nicole World Tour di Jakarta. Ia pun membawakan lagu Laskar Pelangi.","Selasa, 26 Sep 2023 22:52 WIB"
20,6 Gaya Edgy NIKI Jadi Artis Indonesia Pertama Tampil di Jimmy Kimmel Live!,N/A,N/A,"Jumat, 31 Mei  2024 18:00 WIB"
21,Cerita Jinan Laetitia Manggung Bareng Rich Brian dan NIKI di Singapura,detikHot,Penyanyi muda Jinan Laetitia mendapat kesempatan satu panggung dengan Rich Brian dan NIKI.,"Jumat, 22 Sep 2023 07:30 WIB"
22,NIKI hingga Rich Brian Jadi Lineup Konser 88rising di Jakarta,detikHot,88rising mengumumkan akan menggelar konser di Jakarta pada 9 September mendatang. Sederet musisi dan penyanyi siap tampil mulai dari NIKI hingga Rich Brian.,"Selasa, 25 Jul 2023 15:55 WIB"
23,"KM Niki Sejahtera Terbakar di Perairan Banjarmasin, 120 Orang Dievakuasi",detikSulsel,KM Niki Sejahtera terbakar di perairan Banjarmasin. Seluruh penumpang dan awak kapal dievakuasi. Tidak ada korban jiwa.,"Jumat, 02 Agu 2024 12:52 WIB"
24,"Konser NIKI di Jakarta Tambah Satu Hari, Siap-Siap War Lagi!",detikHot,Niki memilih untuk menambah hari dalam konser di Jakarta. Sebelumnya tiket konsernya ludes dalam 7 menit saja.,"Rabu, 19 Jul 2023 08:06 WIB"
25,"Konser NIKI di Jakarta Jadi Dua Hari, War Tiket 21 Juli!",detikHot,"Kabar bahagia buat fans NIKI! Sang musisi mengumumkan pada hari ini, Selasa (18/7), bahwa ia menambah hari konser di Indonesia. Siap war tiket, detikers?","Selasa, 18 Jul 2023 19:34 WIB"
26,NIKI Gelar Konser di Jakarta September 2023!,detikHot,NIKI akan gelar konser di Jakarta pada September 2023.,"Selasa, 16 Mei  2023 14:38 WIB"
27,NIKI Bakal Konser di Jakarta 26 September,detikHot,NIKI alias Niki Zefanya siap menggelar konser 'Nicole World Tour 2023' di Jakarta. Konser ini akan berlangsung pada 26 September 2023 di JIEXPO HALL.,"Senin, 15 Mei  2023 23:04 WIB"
28,"Tentang '24', Lagu Terbaru NIKI yang Dirilis Jelang Ulang Tahunnya",20Detik,N/A,"Minggu, 14 Jan 2024 18:00 WIB"
29,"KM Niki Sejahtera Terbakar di Perairan Banjarmasin, Bakamla RI Evakuasi",detikNews,"KM Niki Sejahtera terbakar di perairan Banjarmasin, Kalsel. Bakamla RI melalui unsur KN Singa Laut-402 mengevakuasi penumpang dan kru KM Niki Sejahtera.","Kamis, 01 Agu 2024 19:48 WIB"
30,Tiket Konser NIKI di Jakarta Sold Out Dalam 7 Menit,detikHot,"Antusias penikmat musik terhadap konser belakangan ini begitu besar. Bukan cuma Coldplay yang tiketnya ludes terjual, NIKI pun demikian.","Jumat, 19 Mei  2023 16:03 WIB"
31,Lirik Lagu Tsunami NIKI dengan Terjemahan dan Maknanya,detikJateng,Ingin ikut menyanyikan lagu Tsunami yang dibawakan NIKI? Temukan lirik lagu Tsunami NIKI melalui artikel ini.,"Kamis, 01 Agu 2024 10:51 WIB"
32,"Pesona Heesung, Jay, dan Niki ENHYPEN di Lapangan Bisbol",Pop Photos,N/A,"Rabu, 01 Mei  2024 16:04 WIB"
33,Tiket Konser NIKI di Jakarta Ludes Dalam Waktu 7 Menit,detikHot,Konser NIKI di Jakarta sangat ditunggu-tunggu oleh para fans di indonesia. Bahkan seluruh tiket konser NIKI ludes terjual dalam waktu 7 menit.,"Jumat, 19 Mei  2023 18:45 WIB"
34,Ganjar Banggakan NIKI-Rich Brian Saat Balas Anies soal Budaya RI Mendunia,detikNews,"Ganjar Pranowo, menanggapi pernyataan Anies Baswedan soal upaya agar budaya Indonesia bisa mendunia.","Minggu, 07 Jan 2024 21:06 WIB"
35,Deretan Musisi Indonesia yang Sukses di Kancah Internasional,detikPop,Musisi Indonesia kini semakin harum di kancah internasional. Beberapa dari mereka banyak yang sudah dikenal dan bahkan sukses di luar negeri.,"Rabu, 07 Feb 2024 19:03 WIB"
36,NIKI Ungkap Bahagianya Bisa Tampil di Jakarta Berkat HITC 2022,detikHot,Penampilan NIKI jadi penutup yang manis dalam gelaran festival musik Head in the Clouds Jakarta 2022 hari pertama.,"Minggu, 04 Des 2022 11:11 WIB"
